name,group,optimizer,learning_rate,hidden_sizes,train_size,test_size,epochs,batch_size,use_batchnorm,use_dropout,dropout_ratio,final_train_accuracy_percent,final_test_accuracy_percent,final_gap_percent_point,final_train_loss,final_test_loss,total_params,updates_per_epoch,total_updates,training_seconds
stress_baseline,stress,Adam,0.001,512->256,1000,5000,20,128,True,True,0.5,99.7,86.1,13.600000000000009,0.041903846850818695,0.44886477848427603,537354,8,160,3.6345752079505473
stress_batch_16,stress,Adam,0.001,512->256,1000,5000,20,16,True,True,0.5,100.0,85.52,14.480000000000004,0.005160480094671582,0.4846036913733237,537354,63,1260,13.877060125116259
stress_batch_512,stress,Adam,0.001,512->256,1000,5000,20,512,True,True,0.5,95.3,83.22,12.079999999999998,0.2602132199291121,0.6038821407032314,537354,2,40,3.6598008750006557
stress_epochs_200,stress,Adam,0.001,512->256,1000,5000,200,128,True,True,0.5,100.0,86.48,13.519999999999996,3.643061770675974e-05,0.5801133859732613,537354,8,1600,33.30241549992934
stress_dropout_0,stress,Adam,0.001,512->256,1000,5000,60,128,True,False,0.0,100.0,87.2,12.799999999999997,0.0004922519619736709,0.46093428279420895,537354,8,480,8.775996125070378
stress_width_10x,stress,Adam,0.001,5120,1000,5000,30,128,True,True,0.5,100.0,87.0,13.0,0.0012337556808290472,0.47080550336751104,4080650,8,240,46.73666208283976
stress_depth_10_layers,stress,Adam,0.001,256->256->256->256->256->256->256->256->256->256,1000,5000,30,128,True,True,0.5,11.600000000000001,11.42,0.1800000000000015,2.729570959815341,2.750775565963912,800778,8,240,12.625105208018795
stress_sgd_lr_0_1,stress,SGD,0.1,512->256,1000,5000,20,128,True,True,0.5,94.39999999999999,82.16,12.239999999999995,0.2789156288876427,0.6197261781759926,537354,8,160,5.981391499983147
stress_sgd_lr_1_0,stress,SGD,1.0,512->256,1000,5000,20,128,True,True,0.5,100.0,86.18,13.819999999999993,0.0040063706112800045,0.484960845575285,537354,8,160,3.7204741248860955
tiny_wide_no_reg,overfit,Adam,0.001,1024->512,500,5000,120,64,False,False,0.0,100.0,83.44,16.560000000000002,2.3281051812858216e-05,0.8584815719507444,1333770,8,960,45.201827582903206
tiny_wide_regularized,overfit,Adam,0.001,1024->512,500,5000,120,64,True,True,0.5,100.0,83.52000000000001,16.47999999999999,6.83451826696271e-05,0.6528913298637643,1336842,8,960,50.835969041101635
adam_lr_0_001,lr_stability,Adam,0.001,512->256,5000,5000,30,128,True,True,0.5,99.94,93.16,6.780000000000001,0.005722042541491258,0.24008010086255008,537354,40,1200,31.834306791890413
sgd_lr_0_1,lr_stability,SGD,0.1,512->256,5000,5000,30,128,True,True,0.5,98.38,91.56,6.819999999999993,0.06842025407100792,0.27346410680868966,537354,40,1200,21.30849012499675
sgd_lr_1_0,lr_stability,SGD,1.0,512->256,5000,5000,30,128,True,True,0.5,99.9,93.62,6.280000000000001,0.006209807163759734,0.23702211668053738,537354,40,1200,23.030455082887784
