optimizer,case,purpose,hidden_sizes,dropout_ratio,epochs,batch_size,updates_per_epoch,total_updates,learning_rate,train_accuracy_percent,test_accuracy_percent,total_params,training_seconds,loss_start,loss_end
Adam,baseline,기준 설정,512->256,0.5,20,128,469,9380,0.001,99.82333333333332,98.4,537354,121.80126804113388,0.4134143364906256,0.044234168666601466
Adam,dropout_0_4,Dropout 비율 감소,512->256,0.4,20,128,469,9380,0.001,99.925,98.48,537354,148.00688591599464,0.3420075612980385,0.027649538767296162
Adam,epochs_30,반복 횟수 증가,512->256,0.5,30,128,469,14070,0.001,99.94333333333333,98.4,537354,167.58908962504938,0.4134143364906256,0.030679292974383134
Adam,batch_64,미니배치 크기 감소,512->256,0.5,20,64,938,18760,0.001,99.79833333333333,98.54,537354,203.57234962494113,0.3790106547137034,0.05186307972941617
Adam,wide_1024_512,은닉층 너비 증가,1024->512,0.5,20,128,469,9380,0.001,99.88666666666667,98.54,1336842,331.05662345909514,0.30507696941686374,0.026737090314064467
SGD,baseline,기준 설정,512->256,0.5,20,128,469,9380,0.1,98.95,98.0,537354,75.11467500007711,0.6530719528178669,0.10271786988236105
SGD,dropout_0_4,Dropout 비율 감소,512->256,0.4,20,128,469,9380,0.1,99.42166666666667,98.29,537354,81.54433345794678,0.5272547565758561,0.07151668735693587
SGD,epochs_30,반복 횟수 증가,512->256,0.5,30,128,469,14070,0.1,99.37,98.22,537354,116.78428987506777,0.6530719528178669,0.07339828688844137
SGD,batch_64,미니배치 크기 감소,512->256,0.5,20,64,938,18760,0.1,99.42999999999999,98.35000000000001,537354,130.24970520893112,0.5204297063030964,0.08274718443235955
SGD,wide_1024_512,은닉층 너비 증가,1024->512,0.5,20,128,469,9380,0.1,99.235,98.03,1336842,276.73474099999294,0.5438368916784152,0.07595851816900312
